"Country or Area","Year(s)","Value","Value Footnotes"
"Albania","2008","0.62",""
"Albania","2005","0.85",""
"Albania","2004","0.53",""
"Albania","2002","0.57",""
"Albania","1997","0.2",""
"Algeria","1995","6.79",""
"Algeria","1988","7.56",""
"Angola","2009","43.37",""
"Angola","2000","54.31",""
"Argentina","2010","0.92",""
"Argentina","2009","2.01",""
"Argentina","2008","1.94",""
"Argentina","2007","2.71",""
"Argentina","2006","3.69",""
"Argentina","2005","4.55",""
"Argentina","2004","6.29",""
"Argentina","2003","9.79",""
"Argentina","2002","12.57",""
"Argentina","2001","8.27",""
"Argentina","2000","5.12",""
"Argentina","1999","4.21",""
"Argentina","1998","4",""
"Argentina","1997","3.77",""
"Argentina","1996","4.27",""
"Argentina","1995","3.88",""
"Argentina","1994","1.93",""
"Argentina","1993","2.05",""
"Argentina","1992","1.77",""
"Argentina","1991","0.55",""
"Argentina","1987","0",""
"Argentina","1986","0",""
"Armenia","2010","2.47",""
"Armenia","2008","1.28",""
"Armenia","2007","3.46",""
"Armenia","2006","2.96",""
"Armenia","2005","3.98",""
"Armenia","2004","7.43",""
"Armenia","2003","10.63",""
"Armenia","2002","14.97",""
"Armenia","2001","19.84",""
"Armenia","1999","18.03",""
"Armenia","1996","17.5",""
"Azerbaijan","2008","0.43",""
"Azerbaijan","2001","6.32",""
"Azerbaijan","1995","16.26",""
"Bangladesh","2010","43.25",""
"Bangladesh","2005","50.47",""
"Bangladesh","2000","58.59",""
"Bangladesh","1996","60.55",""
"Bangladesh","1992","70.22",""
"Bangladesh","1989","66.69",""
"Bangladesh","1986","55.27",""
"Bangladesh","1984","60.57",""
"Belarus","2011","0.07",""
"Belarus","2010","0.05",""
"Belarus","2009","0.16",""
"Belarus","2008","0.1",""
"Belarus","2007","0.13",""
"Belarus","2006","0.1",""
"Belarus","2005","0.18",""
"Belarus","2004","0.18",""
"Belarus","2002","0.6",""
"Belarus","2001","0.46",""
"Belarus","2000","0.33",""
"Belarus","1998","0.93",""
"Belarus","1995","0.36",""
"Belarus","1993","0.02",""
"Belarus","1988","0.08",""
"Belize","1999","12.21",""
"Belize","1998","11.31",""
"Belize","1997","12.45",""
"Belize","1996","9.66",""
"Belize","1995","14.03",""
"Belize","1994","8.93",""
"Belize","1993","9.09",""
"Benin","2003","47.33",""
"Bhutan","2012","1.66",""
"Bhutan","2007","10.22",""
"Bhutan","2003","26.23",""
"Bolivia","2008","15.61",""
"Bolivia","2007","13.06",""
"Bolivia","2006","16.21",""
"Bolivia","2005","18.21",""
"Bolivia","2002","22.01",""
"Bolivia","2001","21.44",""
"Bolivia","2000","26.9",""
"Bolivia","1999","23.33",""
"Bolivia","1997","17.17",""
"Bolivia","1993","8.51",""
"Bolivia","1991","5.24",""
"Bosnia and Herzegovina","2007","0.04",""
"Bosnia and Herzegovina","2004","0.1",""
"Bosnia and Herzegovina","2001","0.13",""
"Botswana","1994","31.23",""
"Botswana","1986","35.61",""
"Brazil","2009","6.14",""
"Brazil","2008","6.01",""
"Brazil","2007","7.13",""
"Brazil","2006","7.64",""
"Brazil","2005","8.52",""
"Brazil","2004","9.77",""
"Brazil","2003","11.21",""
"Brazil","2002","10.56",""
"Brazil","2001","11.82",""
"Brazil","1999","11.38",""
